Time,Mean_N,Mean_C,Mean_A,Mean_X
122.0,0.855375,0.012725,0.0177375,0.1141625
123.0,0.8557875,0.01475,0.02015,0.1093125
124.0,0.8557375,0.01535,0.0216875,0.107225
125.0,0.856425,0.0145125,0.0224375,0.106625
126.0,0.8580375,0.0138625,0.021275,0.106825
127.0,0.857975,0.013625,0.0211625,0.1072375
128.0,0.8589875,0.0124375,0.019775,0.1088
129.0,0.8598875,0.01235,0.019825,0.1079375
130.0,0.8594,0.0135,0.020725,0.106375
131.0,0.8596125,0.01335,0.019975,0.1070625
132.0,0.8600375,0.012375,0.0193125,0.108275
133.0,0.8612625,0.011675,0.0187,0.1083625
134.0,0.8645375,0.0110625,0.017475,0.106925
135.0,0.866525,0.0115375,0.0176,0.1043375
136.0,0.869275,0.0114125,0.016875,0.1024375
137.0,0.872025,0.0113375,0.0171,0.0995375
138.0,0.872,0.01295,0.0172,0.09785
139.0,0.869475,0.0142125,0.0192875,0.097025
140.0,0.868775,0.01355,0.019725,0.09795
141.0,0.869625,0.0127375,0.019325,0.0983125
142.0,0.8699,0.0126875,0.018275,0.0991375
143.0,0.869075,0.0125,0.0184875,0.0999375
144.0,0.8692625,0.011475,0.018125,0.1011375
145.0,0.8704875,0.0102375,0.01745,0.101825
146.0,0.8729625,0.008775,0.0154625,0.1028
147.0,0.875675,0.0093375,0.014225,0.1007625
148.0,0.877725,0.009975,0.0144,0.0979
149.0,0.8801,0.010925,0.015475,0.0935
150.0,0.8818,0.0103125,0.0166625,0.091225
151.0,0.8836,0.0100875,0.0171,0.0892125
152.0,0.8849625,0.0101375,0.016025,0.088875
153.0,0.8842625,0.0111625,0.016425,0.08815
154.0,0.884075,0.0106125,0.0169375,0.088375
155.0,0.885,0.0099125,0.0166625,0.088425
156.0,0.8884125,0.0093875,0.0152375,0.0869625
157.0,0.8917625,0.0082125,0.014,0.086025
158.0,0.8928375,0.009525,0.014075,0.0835625
159.0,0.89285,0.01055,0.014575,0.082025
160.0,0.8913625,0.011175,0.016475,0.0809875
161.0,0.8905125,0.0110875,0.0162875,0.0821125
162.0,0.890075,0.0108875,0.01615,0.0828875
163.0,0.891,0.0100625,0.0161375,0.0828
164.0,0.8901125,0.0107625,0.0165125,0.0826125
165.0,0.8892875,0.010825,0.0159125,0.083975
166.0,0.8877875,0.01185,0.0165,0.0838625
167.0,0.8851875,0.0114125,0.017875,0.085525
168.0,0.8846,0.0097625,0.0167125,0.088925
169.0,0.8877375,0.0082375,0.0146625,0.0893625
170.0,0.8903375,0.0085,0.0124,0.0887625
171.0,0.8932,0.00835,0.0125625,0.0858875
172.0,0.8969125,0.00765,0.0118625,0.083575
173.0,0.90035,0.0078125,0.0120875,0.07975
174.0,0.9039,0.0079875,0.0119125,0.0762
175.0,0.9056875,0.0094625,0.011825,0.073025
176.0,0.905725,0.009775,0.013775,0.070725
177.0,0.904775,0.0105375,0.0145125,0.070175
178.0,0.9044625,0.0093375,0.0149,0.0713
179.0,0.9058875,0.00815,0.0138875,0.072075
180.0,0.9086,0.0074875,0.0122625,0.07165
181.0,0.9102,0.0074125,0.0110875,0.0713
182.0,0.9104,0.0084125,0.0114375,0.06975
183.0,0.9113125,0.0080625,0.0118375,0.0687875
184.0,0.913025,0.0067875,0.011525,0.0686625
185.0,0.9155,0.006625,0.0100875,0.0677875
186.0,0.9177875,0.0067125,0.0098875,0.0656125
187.0,0.9191875,0.0074625,0.010025,0.063325
188.0,0.9205,0.0073875,0.0105375,0.061575
189.0,0.92135,0.0072625,0.0108625,0.060525
190.0,0.9227375,0.0071,0.0106375,0.059525
191.0,0.924325,0.0065625,0.0103125,0.0588
192.0,0.9266125,0.006425,0.01045,0.0565125
193.0,0.927775,0.0064,0.0105875,0.0552375
194.0,0.9270125,0.0073625,0.0108375,0.0547875
195.0,0.9264875,0.0079625,0.0118,0.05375
196.0,0.9254375,0.0077,0.012175,0.0546875
197.0,0.9238,0.0083375,0.0118,0.0560625
198.0,0.92365,0.007025,0.01165,0.057675
199.0,0.9242,0.007,0.0111,0.0577
200.0,0.9252125,0.00725,0.01095,0.0565875
