Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.5219625,0.4222625,0.0469875,0.0087875
2.0,0.0824125,0.5909375,0.2139375,0.1127125
3.0,0.070225,0.4473125,0.234725,0.2477375
4.0,0.069975,0.372575,0.21325,0.3442
5.0,0.069975,0.3402625,0.188825,0.4009375
6.0,0.069975,0.3211125,0.1731875,0.435725
7.0,0.07,0.3120875,0.1651625,0.45275
8.0,0.07,0.3113125,0.1582,0.4604875
9.0,0.07,0.3074375,0.1557625,0.4668
10.0,0.07,0.3074625,0.1554625,0.467075
11.0,0.07,0.30645,0.154775,0.468775
12.0,0.07,0.3030125,0.156075,0.4709125
13.0,0.07,0.3047625,0.1535375,0.4717
14.0,0.07,0.305225,0.1536125,0.4711625
15.0,0.07,0.3051125,0.15455,0.4703375
16.0,0.07,0.3049375,0.15345,0.4716125
17.0,0.07,0.30385,0.1548125,0.4713375
18.0,0.07,0.3029625,0.1543375,0.4727
19.0,0.07,0.3072875,0.151625,0.4710875
20.0,0.07,0.3056875,0.1518625,0.47245
21.0,0.07,0.3080625,0.1509125,0.471025
22.0,0.07,0.3093375,0.1532625,0.4674
23.0,0.07,0.3105875,0.153775,0.4656375
24.0,0.07,0.3112,0.153525,0.465275
25.0,0.07,0.3094625,0.1538,0.4667375
26.0,0.07,0.3083625,0.1546875,0.46695
27.0,0.07,0.3093625,0.153525,0.4671125
28.0,0.07,0.3089125,0.153625,0.4674625
29.0,0.07,0.309675,0.1523375,0.4679875
30.0,0.07,0.31085,0.1511875,0.4679625
31.0,0.07,0.311225,0.1546375,0.4641375
32.0,0.07,0.3121875,0.1560625,0.46175
33.0,0.07,0.3086,0.1562,0.4652
34.0,0.07,0.3097875,0.1555375,0.464675
35.0,0.07,0.3122625,0.1540875,0.46365
36.0,0.07,0.310875,0.1562,0.462925
37.0,0.07,0.31095,0.153675,0.465375
38.0,0.07,0.307175,0.156525,0.4663
39.0,0.07,0.3058625,0.1570625,0.467075
40.0,0.07,0.3055,0.1569375,0.4675625
41.0,0.07,0.3049375,0.15425,0.4708125
42.0,0.07,0.3058,0.153575,0.470625
43.0,0.07,0.306675,0.1552,0.468125
44.0,0.07,0.307725,0.1527125,0.4695625
45.0,0.07,0.3062125,0.1530125,0.470775
46.0,0.07,0.3048375,0.1533,0.4718625
47.0,0.07,0.3077875,0.1507875,0.471425
48.0,0.07,0.3111875,0.150525,0.4682875
49.0,0.07,0.3117625,0.1559125,0.462325
50.0,0.07,0.30775,0.156,0.46625
51.0,0.07,0.30625,0.155125,0.468625
52.0,0.07,0.305575,0.15315,0.471275
53.0,0.07,0.3062625,0.15245,0.4712875
54.0,0.07,0.30805,0.15235,0.4696
55.0,0.07,0.31065,0.154075,0.465275
56.0,0.07,0.3112875,0.1526,0.4661125
57.0,0.07,0.3100125,0.1551875,0.4648
58.0,0.07,0.309425,0.1562375,0.4643375
59.0,0.07,0.3111375,0.1517375,0.467125
60.0,0.07,0.3096375,0.1551875,0.465175
61.0,0.07,0.306375,0.155675,0.46795
62.0,0.07,0.3056875,0.156325,0.4679875
63.0,0.07,0.304625,0.154375,0.471
64.0,0.07,0.3094125,0.151775,0.4688125
65.0,0.07,0.3079,0.1546,0.4675
66.0,0.07,0.309075,0.1545625,0.4663625
67.0,0.07,0.3056125,0.1559375,0.46845
68.0,0.07,0.3017375,0.1546125,0.47365
69.0,0.07,0.3059875,0.15,0.4740125
70.0,0.07,0.30865,0.1496,0.47175
71.0,0.07,0.31125,0.1526125,0.4661375
72.0,0.07,0.308625,0.1547,0.466675
73.0,0.07,0.3093875,0.152325,0.4682875
74.0,0.07,0.3086875,0.154125,0.4671875
75.0,0.07,0.30675,0.1524125,0.4708375
76.0,0.07,0.3056625,0.1532125,0.471125
77.0,0.07,0.3059375,0.1523125,0.47175
78.0,0.07,0.30685,0.1528375,0.4703125
79.0,0.07,0.308075,0.1537,0.468225
80.0,0.07,0.3072375,0.1552125,0.46755
81.0,0.07,0.3052625,0.1546625,0.470075
82.0,0.07,0.3053875,0.1529,0.4717125
83.0,0.07,0.3047875,0.15215,0.4730625
84.0,0.07,0.30615,0.1517125,0.4721375
85.0,0.07,0.3070875,0.155025,0.4678875
86.0,0.07,0.306975,0.1543,0.468725
87.0,0.07,0.305425,0.1547625,0.4698125
88.0,0.07,0.305475,0.153575,0.47095
89.0,0.07,0.30555,0.1544125,0.4700375
90.0,0.07,0.3047375,0.1535375,0.471725
91.0,0.07,0.3068875,0.1547,0.4684125
92.0,0.07,0.305375,0.1513875,0.4732375
93.0,0.07,0.307875,0.1521,0.470025
94.0,0.07,0.307125,0.153775,0.4691
95.0,0.07,0.30765,0.1525875,0.4697625
96.0,0.07,0.3093,0.1529875,0.4677125
97.0,0.07,0.308475,0.15445,0.467075
98.0,0.07,0.308075,0.1541125,0.4678125
99.0,0.07,0.3095625,0.15415,0.4662875
100.0,0.07,0.3063625,0.154875,0.4687625
101.0,0.07,0.3057875,0.152375,0.4718375
102.0,0.07,0.3057375,0.1529875,0.471275
103.0,0.07,0.30805,0.151025,0.470925
104.0,0.07,0.3067,0.1537125,0.4695875
105.0,0.07,0.307975,0.1519,0.470125
106.0,0.07,0.3083375,0.1523625,0.4693
107.0,0.07,0.30735,0.15185,0.4708
108.0,0.07,0.306225,0.1520125,0.4717625
109.0,0.07,0.3058125,0.154025,0.4701625
110.0,0.07,0.301175,0.1539625,0.4748625
111.0,0.07,0.300025,0.151725,0.47825
112.0,0.07,0.3030625,0.150525,0.4764125
113.0,0.07,0.3054375,0.151775,0.4727875
114.0,0.07,0.3052625,0.151375,0.4733625
115.0,0.07,0.3065,0.1528,0.4707
116.0,0.07,0.3048875,0.15255,0.4725625
117.0,0.07,0.30835,0.149925,0.471725
118.0,0.07,0.30735,0.1523875,0.4702625
119.0,0.07,0.3070125,0.1547125,0.468275
120.0,0.07,0.3069,0.154175,0.468925
121.0,0.07,0.3059,0.154975,0.469125
122.0,0.07,0.3062625,0.1546625,0.469075
123.0,0.07,0.3057125,0.1554875,0.4688
124.0,0.07,0.3084375,0.15525,0.4663125
125.0,0.07,0.3065,0.154975,0.468525
126.0,0.07,0.3058125,0.1557625,0.468425
127.0,0.07,0.3056625,0.153625,0.4707125
128.0,0.07,0.3061875,0.1548,0.4690125
129.0,0.07,0.30475,0.15595,0.4693
130.0,0.07,0.30765,0.15275,0.4696
131.0,0.07,0.3109375,0.15295,0.4661125
132.0,0.07,0.3136875,0.1517625,0.46455
133.0,0.07,0.311025,0.155375,0.4636
134.0,0.07,0.309825,0.155475,0.4647
135.0,0.07,0.3112625,0.1538125,0.464925
136.0,0.07,0.3124125,0.15335,0.4642375
137.0,0.07,0.31015,0.1541625,0.4656875
138.0,0.07,0.3115625,0.1532,0.4652375
139.0,0.07,0.3099375,0.1540375,0.466025
140.0,0.07,0.310875,0.1546625,0.4644625
141.0,0.07,0.312175,0.1536875,0.4641375
142.0,0.07,0.309275,0.157575,0.46315
143.0,0.07,0.3068,0.1532125,0.4699875
144.0,0.07,0.30515,0.1526125,0.4722375
145.0,0.07,0.3036125,0.152775,0.4736125
146.0,0.07,0.3109,0.150025,0.469075
147.0,0.07,0.3136625,0.1516625,0.464675
148.0,0.07,0.312425,0.1547,0.462875
149.0,0.07,0.30795,0.15685,0.4652
150.0,0.07,0.3098375,0.1557,0.4644625
151.0,0.07,0.30945,0.154875,0.465675
152.0,0.07,0.308175,0.152675,0.46915
153.0,0.07,0.3083625,0.153825,0.4678125
154.0,0.07,0.305875,0.1545875,0.4695375
155.0,0.07,0.3063375,0.1527625,0.4709
156.0,0.07,0.3070375,0.1532,0.4697625
157.0,0.07,0.309325,0.153125,0.46755
158.0,0.07,0.3077875,0.154025,0.4681875
159.0,0.07,0.30725,0.1528875,0.4698625
160.0,0.07,0.307675,0.1515625,0.4707625
161.0,0.07,0.3069125,0.1531875,0.4699
162.0,0.07,0.3084,0.15345,0.46815
163.0,0.07,0.3072125,0.1546625,0.468125
164.0,0.07,0.3079125,0.1527,0.4693875
165.0,0.07,0.3072875,0.15275,0.4699625
166.0,0.07,0.3082,0.1548375,0.4669625
167.0,0.07,0.30805,0.1530625,0.4688875
168.0,0.07,0.310475,0.1533,0.466225
169.0,0.07,0.3094,0.1552,0.4654
170.0,0.07,0.3077125,0.1551875,0.4671
171.0,0.07,0.306775,0.1563375,0.4668875
172.0,0.07,0.3104,0.1536125,0.4659875
173.0,0.07,0.309625,0.1536375,0.4667375
174.0,0.07,0.3072625,0.1570625,0.465675
175.0,0.07,0.306425,0.154025,0.46955
176.0,0.07,0.30595,0.1552625,0.4687875
177.0,0.07,0.305625,0.1556625,0.4687125
178.0,0.07,0.30655,0.15325,0.4702
179.0,0.07,0.305675,0.1528375,0.4714875
180.0,0.07,0.3030625,0.1545875,0.47235
181.0,0.07,0.3037375,0.1543125,0.47195
182.0,0.07,0.3082,0.1525375,0.4692625
183.0,0.07,0.31035,0.1536875,0.4659625
184.0,0.07,0.308175,0.1561875,0.4656375
185.0,0.07,0.309175,0.152975,0.46785
186.0,0.07,0.3080375,0.15065,0.4713125
187.0,0.07,0.3081875,0.15305,0.4687625
188.0,0.07,0.31175,0.1533125,0.4649375
189.0,0.07,0.3092875,0.1540375,0.466675
190.0,0.07,0.3087875,0.1530625,0.46815
191.0,0.07,0.308675,0.154,0.467325
192.0,0.07,0.3086,0.15225,0.46915
193.0,0.07,0.305525,0.1547625,0.4697125
194.0,0.07,0.3073625,0.152825,0.4698125
195.0,0.07,0.306425,0.153425,0.47015
196.0,0.07,0.3078375,0.1508875,0.471275
197.0,0.07,0.30745,0.1527125,0.4698375
198.0,0.07,0.307275,0.154475,0.46825
199.0,0.07,0.3071,0.1533875,0.4695125
200.0,0.07,0.309975,0.1530625,0.4669625
