Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.9717125,0.0146625,0.010075,0.00355
2.0,0.876525,0.05085,0.0478375,0.0247875
3.0,0.7508,0.0692625,0.099575,0.0803625
4.0,0.667325,0.05605,0.1183125,0.1583125
5.0,0.6412375,0.0350125,0.097475,0.226275
6.0,0.644725,0.023275,0.069725,0.262275
7.0,0.66145,0.017175,0.0499625,0.2714125
8.0,0.6850625,0.01505,0.03725,0.2626375
9.0,0.7101375,0.013675,0.0322375,0.24395
10.0,0.739625,0.0122125,0.028375,0.2197875
11.0,0.7669125,0.0125625,0.0260625,0.1944625
12.0,0.786125,0.0161375,0.027725,0.1700125
13.0,0.7959375,0.0190375,0.0332,0.151825
14.0,0.8020125,0.0192125,0.0364875,0.1422875
15.0,0.806725,0.0175875,0.036825,0.1388625
16.0,0.8135125,0.015675,0.0339,0.1369125
17.0,0.81745,0.01565,0.0318875,0.1350125
18.0,0.8227375,0.0138125,0.031525,0.131925
19.0,0.830425,0.012275,0.0278125,0.1294875
20.0,0.838775,0.012075,0.025125,0.124025
21.0,0.845175,0.012175,0.0243375,0.1183125
22.0,0.850575,0.0123625,0.0241375,0.112925
23.0,0.8560125,0.0115125,0.0243625,0.1081125
24.0,0.8597,0.0124125,0.0236375,0.10425
25.0,0.860375,0.0131375,0.0247875,0.1017
26.0,0.8593125,0.0137125,0.025425,0.10155
27.0,0.8595625,0.01255,0.0258375,0.10205
28.0,0.8615625,0.0106875,0.02425,0.1035
29.0,0.86495,0.0103125,0.0218625,0.102875
30.0,0.8701125,0.0095,0.0209625,0.099425
31.0,0.8754625,0.009825,0.0204,0.0943125
32.0,0.8794,0.009575,0.0204625,0.0905625
33.0,0.8824,0.0099125,0.019525,0.0881625
34.0,0.884625,0.0104375,0.0205625,0.084375
35.0,0.88655,0.009625,0.0200875,0.0837375
36.0,0.888925,0.0091875,0.0201625,0.081725
37.0,0.89305,0.007525,0.0180125,0.0814125
38.0,0.8985625,0.006725,0.0154,0.0793125
39.0,0.9030375,0.0073875,0.014625,0.07495
40.0,0.9087375,0.0061375,0.0142,0.070925
41.0,0.9147625,0.0064625,0.011975,0.0668
42.0,0.9181875,0.0067,0.0128125,0.0623
43.0,0.9241625,0.0048625,0.0119,0.059075
44.0,0.9264625,0.006325,0.0118625,0.05535
45.0,0.9290875,0.005725,0.0121,0.0530875
46.0,0.9319625,0.004925,0.0111375,0.051975
47.0,0.9357125,0.0050625,0.01075,0.048475
48.0,0.93775,0.0053375,0.0102875,0.046625
49.0,0.9376,0.0061625,0.011,0.0452375
50.0,0.9371875,0.00525,0.01225,0.0453125
51.0,0.93805,0.005225,0.01065,0.046075
52.0,0.9388125,0.0050125,0.0104125,0.0457625
53.0,0.9404625,0.004625,0.010475,0.0444375
54.0,0.9411,0.0053875,0.0100125,0.0435
55.0,0.941675,0.005375,0.0107375,0.0422125
56.0,0.9418125,0.005525,0.0108375,0.041825
57.0,0.9416625,0.005075,0.010825,0.0424375
58.0,0.9439375,0.003475,0.01,0.0425875
59.0,0.9481625,0.002975,0.0076625,0.0412
60.0,0.9525625,0.00265,0.0062375,0.03855
61.0,0.9568375,0.0028625,0.0057625,0.0345375
62.0,0.9580375,0.00365,0.006375,0.0319375
63.0,0.9595625,0.00365,0.006675,0.0301125
64.0,0.9597875,0.0039875,0.007125,0.0291
65.0,0.9596625,0.003925,0.0080625,0.02835
66.0,0.9607125,0.0030875,0.0071125,0.0290875
67.0,0.9622,0.00285,0.006525,0.028425
68.0,0.9633625,0.0030875,0.0065375,0.0270125
69.0,0.963775,0.0033,0.00595,0.026975
70.0,0.9625625,0.003875,0.0069125,0.02665
71.0,0.9616125,0.003225,0.0081125,0.02705
72.0,0.9634,0.002575,0.0066875,0.0273375
73.0,0.96455,0.002625,0.0061625,0.0266625
74.0,0.966725,0.0021,0.00545,0.025725
75.0,0.9687,0.002275,0.0048125,0.0242125
76.0,0.9705625,0.0021,0.004525,0.0228125
77.0,0.971575,0.002625,0.0048125,0.0209875
78.0,0.9720625,0.002775,0.0049,0.0202625
79.0,0.9723625,0.0027875,0.00535,0.0195
80.0,0.9734125,0.0016625,0.0050375,0.0198875
81.0,0.9748625,0.0014375,0.004125,0.019575
82.0,0.9761375,0.0018,0.0035875,0.018475
83.0,0.9768375,0.0020875,0.003875,0.0172
84.0,0.97735,0.0017125,0.0042875,0.01665
85.0,0.9784375,0.0016875,0.003475,0.0164
86.0,0.97955,0.00155,0.0034625,0.0154375
87.0,0.9803,0.00155,0.0033375,0.0148125
88.0,0.980875,0.00145,0.0033375,0.0143375
89.0,0.981525,0.0018125,0.0033375,0.013325
90.0,0.9820875,0.001975,0.0033875,0.01255
91.0,0.9808375,0.0024625,0.0041875,0.0125125
