Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.692,0.27225,0.03075,0.005
2.0,0.21475,0.529,0.1755,0.08075
3.0,0.2,0.3975,0.203,0.1995
4.0,0.2,0.334,0.18275,0.28325
5.0,0.2,0.2965,0.167,0.3365
6.0,0.2,0.266,0.148,0.386
7.0,0.2,0.26675,0.137,0.39625
8.0,0.2,0.2555,0.139,0.4055
9.0,0.2,0.2495,0.12575,0.42475
10.0,0.2,0.2585,0.1295,0.412
11.0,0.2,0.2505,0.1315,0.418
12.0,0.2,0.27525,0.1245,0.40025
13.0,0.2,0.26225,0.13375,0.404
14.0,0.2,0.25325,0.13075,0.416
15.0,0.2,0.264,0.13275,0.40325
16.0,0.2,0.26675,0.12725,0.406
17.0,0.2,0.26525,0.1375,0.39725
18.0,0.2,0.27325,0.13625,0.3905
19.0,0.2,0.27225,0.1335,0.39425
20.0,0.2,0.26525,0.1385,0.39625
21.0,0.2,0.2695,0.13225,0.39825
22.0,0.2,0.266,0.1315,0.4025
23.0,0.2,0.27375,0.13525,0.391
24.0,0.2,0.27275,0.12875,0.3985
25.0,0.2,0.262,0.13025,0.40775
26.0,0.2,0.26775,0.1315,0.40075
27.0,0.2,0.26575,0.1305,0.40375
28.0,0.2,0.2685,0.12925,0.40225
29.0,0.2,0.25625,0.13675,0.407
30.0,0.2,0.265,0.12625,0.40875
31.0,0.2,0.28225,0.12475,0.393
32.0,0.2,0.268,0.13725,0.39475
33.0,0.2,0.27175,0.12975,0.3985
34.0,0.2,0.275,0.1205,0.4045
35.0,0.2,0.2745,0.126,0.3995
36.0,0.2,0.285,0.126,0.389
37.0,0.2,0.2965,0.1345,0.369
38.0,0.2,0.29,0.13725,0.37275
39.0,0.2,0.2825,0.1375,0.38
40.0,0.2,0.2765,0.13975,0.38375
41.0,0.2,0.27425,0.14525,0.3805
42.0,0.2,0.26325,0.14075,0.396
43.0,0.2,0.2565,0.1405,0.403
44.0,0.2,0.25225,0.1305,0.41725
45.0,0.2,0.24975,0.1365,0.41375
46.0,0.2,0.26325,0.1315,0.40525
47.0,0.2,0.26875,0.1395,0.39175
48.0,0.2,0.26675,0.13725,0.396
49.0,0.2,0.26875,0.14125,0.39
50.0,0.2,0.2715,0.13775,0.39075
51.0,0.2,0.26375,0.1425,0.39375
52.0,0.2,0.26425,0.1295,0.40625
53.0,0.2,0.26525,0.13775,0.397
54.0,0.2,0.26425,0.12475,0.411
55.0,0.2,0.27,0.1275,0.4025
56.0,0.2,0.26425,0.125,0.41075
57.0,0.2,0.27225,0.1305,0.39725
58.0,0.2,0.2705,0.132,0.3975
59.0,0.2,0.2645,0.13875,0.39675
60.0,0.2,0.26425,0.1335,0.40225
61.0,0.2,0.264,0.12875,0.40725
62.0,0.2,0.25775,0.12775,0.4145
63.0,0.2,0.259,0.13025,0.41075
64.0,0.2,0.272,0.114,0.414
65.0,0.2,0.27675,0.13025,0.393
66.0,0.2,0.274,0.136,0.39
67.0,0.2,0.268,0.1365,0.3955
68.0,0.2,0.26475,0.12675,0.4085
69.0,0.2,0.26375,0.13275,0.4035
70.0,0.2,0.2675,0.13575,0.39675
71.0,0.2,0.27125,0.13175,0.397
72.0,0.2,0.26475,0.13775,0.3975
73.0,0.2,0.268,0.13675,0.39525
74.0,0.2,0.2825,0.123,0.3945
75.0,0.2,0.27,0.135,0.395
76.0,0.2,0.2635,0.13525,0.40125
77.0,0.2,0.258,0.13625,0.40575
78.0,0.2,0.2535,0.12825,0.41825
79.0,0.2,0.24975,0.133,0.41725
80.0,0.2,0.266,0.13075,0.40325
81.0,0.2,0.2625,0.128,0.4095
82.0,0.2,0.2615,0.131,0.4075
83.0,0.2,0.26175,0.1335,0.40475
84.0,0.2,0.26275,0.1325,0.40475
85.0,0.2,0.2555,0.14225,0.40225
86.0,0.2,0.26125,0.13275,0.406
87.0,0.2,0.26975,0.137,0.39325
88.0,0.2,0.28175,0.1315,0.38675
89.0,0.2,0.291,0.13375,0.37525
90.0,0.2,0.28725,0.144,0.36875
91.0,0.2,0.27875,0.1425,0.37875
92.0,0.2,0.27925,0.13875,0.382
93.0,0.2,0.26975,0.1435,0.38675
94.0,0.2,0.26825,0.144,0.38775
95.0,0.2,0.26425,0.1325,0.40325
96.0,0.2,0.265,0.13925,0.39575
97.0,0.2,0.26425,0.13775,0.398
98.0,0.2,0.267,0.131,0.402
99.0,0.2,0.2595,0.13,0.4105
100.0,0.2,0.26425,0.1285,0.40725
101.0,0.2,0.26925,0.13825,0.3925
102.0,0.2,0.2605,0.13925,0.40025
103.0,0.2,0.2595,0.13625,0.40425
104.0,0.2,0.2525,0.13075,0.41675
105.0,0.2,0.2595,0.1245,0.416
106.0,0.2,0.26375,0.12725,0.409
107.0,0.2,0.268,0.13575,0.39625
108.0,0.2,0.27075,0.13075,0.3985
109.0,0.2,0.27425,0.13525,0.3905
110.0,0.2,0.269,0.1385,0.3925
111.0,0.2,0.267,0.13425,0.39875
112.0,0.2,0.269,0.13425,0.39675
113.0,0.2,0.26625,0.1355,0.39825
114.0,0.2,0.26125,0.13725,0.4015
115.0,0.2,0.26725,0.14125,0.3915
116.0,0.2,0.27675,0.1365,0.38675
117.0,0.2,0.27375,0.13275,0.3935
118.0,0.2,0.266,0.1415,0.3925
119.0,0.2,0.26175,0.1385,0.39975
120.0,0.2,0.27,0.135,0.395
121.0,0.2,0.26725,0.13225,0.4005
122.0,0.2,0.27525,0.13175,0.393
123.0,0.2,0.27625,0.13575,0.388
124.0,0.2,0.2735,0.13475,0.39175
125.0,0.2,0.26425,0.12925,0.4065
126.0,0.2,0.266,0.1345,0.3995
127.0,0.2,0.2755,0.13375,0.39075
128.0,0.2,0.279,0.131,0.39
129.0,0.2,0.276,0.12725,0.39675
