Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.98815,0.0095125,0.0017875,0.00055
2.0,0.9595375,0.0300625,0.006875,0.003525
3.0,0.8838,0.08225,0.0209875,0.0129625
4.0,0.741,0.1733625,0.0508875,0.03475
5.0,0.57915,0.2575875,0.088,0.0752625
6.0,0.44425,0.3038125,0.12395,0.1279875
7.0,0.3561375,0.3142875,0.1421,0.187475
8.0,0.30245,0.3063375,0.1493375,0.241875
9.0,0.272725,0.2937625,0.15085,0.2826625
10.0,0.2557625,0.2849,0.146975,0.3123625
11.0,0.2471125,0.275975,0.141225,0.3356875
12.0,0.2414875,0.268575,0.140625,0.3493125
13.0,0.23805,0.264675,0.1360125,0.3612625
14.0,0.2355875,0.2610625,0.1316625,0.3716875
15.0,0.23455,0.258525,0.1298125,0.3771125
16.0,0.2331875,0.2585,0.1287,0.3796125
17.0,0.23225,0.257475,0.1294625,0.3808125
18.0,0.231325,0.253725,0.1303375,0.3846125
19.0,0.2309625,0.2546625,0.127775,0.3866
20.0,0.2306125,0.2552875,0.125825,0.388275
21.0,0.2305625,0.2576,0.1261625,0.385675
22.0,0.23035,0.2577,0.127825,0.384125
23.0,0.23035,0.25675,0.129475,0.383425
24.0,0.2302625,0.2558625,0.1282875,0.3855875
25.0,0.2302375,0.2548625,0.1279,0.387
26.0,0.230175,0.252575,0.1276,0.38965
27.0,0.2301125,0.250475,0.1300125,0.3894
28.0,0.2300875,0.2519375,0.1256875,0.3922875
29.0,0.2300625,0.2525125,0.1271,0.390325
30.0,0.230025,0.2532125,0.12745,0.3893125
31.0,0.23,0.252,0.1301875,0.3878125
32.0,0.23,0.252675,0.12795,0.389375
33.0,0.23,0.2526625,0.1265875,0.39075
34.0,0.23,0.2542125,0.125775,0.3900125
35.0,0.23,0.2543875,0.1248375,0.390775
36.0,0.23,0.2568,0.12735,0.38585
37.0,0.23,0.256225,0.1293625,0.3844125
38.0,0.23,0.25615,0.1280625,0.3857875
39.0,0.23,0.255175,0.1273,0.387525
40.0,0.23,0.2535125,0.12915,0.3873375
41.0,0.23,0.254425,0.1279875,0.3875875
42.0,0.23,0.2564625,0.126875,0.3866625
43.0,0.23,0.2577,0.1268625,0.3854375
44.0,0.23,0.2553125,0.1294875,0.3852
45.0,0.23,0.2516875,0.129675,0.3886375
46.0,0.23,0.251425,0.1279375,0.3906375
47.0,0.23,0.25225,0.12655,0.3912
48.0,0.23,0.2521875,0.1272625,0.39055
49.0,0.23,0.2538,0.1267,0.3895
50.0,0.23,0.2551375,0.1266,0.3882625
51.0,0.23,0.254675,0.126125,0.3892
52.0,0.23,0.2552625,0.1254875,0.38925
53.0,0.23,0.2544375,0.127825,0.3877375
54.0,0.23,0.256275,0.1271,0.386625
55.0,0.23,0.2566875,0.1274,0.3859125
56.0,0.23,0.256425,0.1271125,0.3864625
57.0,0.23,0.255075,0.1277625,0.3871625
58.0,0.23,0.252925,0.126175,0.3909
59.0,0.23,0.25045,0.1266125,0.3929375
60.0,0.23,0.2505875,0.1275875,0.391825
61.0,0.23,0.2544625,0.1244625,0.391075
62.0,0.23,0.2556375,0.1272,0.3871625
63.0,0.23,0.25685,0.12675,0.3864
64.0,0.23,0.258375,0.1276,0.384025
65.0,0.23,0.2562375,0.1303125,0.38345
66.0,0.23,0.256275,0.130025,0.3837
67.0,0.23,0.2549375,0.12865,0.3864125
68.0,0.23,0.25395,0.1279125,0.3881375
69.0,0.23,0.25185,0.12825,0.3899
70.0,0.23,0.253,0.12695,0.39005
71.0,0.23,0.2547625,0.12685,0.3883875
72.0,0.23,0.2557625,0.1286,0.3856375
73.0,0.23,0.253225,0.1289125,0.3878625
74.0,0.23,0.251725,0.12845,0.389825
75.0,0.23,0.2517625,0.128525,0.3897125
76.0,0.23,0.2527375,0.1267125,0.39055
77.0,0.23,0.25435,0.1261625,0.3894875
78.0,0.23,0.25565,0.125225,0.389125
79.0,0.23,0.25625,0.1279625,0.3857875
80.0,0.23,0.25545,0.12845,0.3861
81.0,0.23,0.2507375,0.127525,0.3917375
82.0,0.23,0.2529375,0.1263625,0.3907
83.0,0.23,0.2537,0.126225,0.390075
84.0,0.23,0.2547875,0.1263625,0.38885
85.0,0.23,0.2572625,0.1244375,0.3883
86.0,0.23,0.2537125,0.127875,0.3884125
87.0,0.23,0.254,0.127625,0.388375
88.0,0.23,0.25465,0.126625,0.388725
89.0,0.23,0.25495,0.1269625,0.3880875
90.0,0.23,0.257025,0.128375,0.3846
91.0,0.23,0.2554375,0.1292125,0.38535
92.0,0.23,0.2562125,0.1284875,0.3853
93.0,0.23,0.2518125,0.12935,0.3888375
94.0,0.23,0.2511125,0.1268375,0.39205
95.0,0.23,0.2525875,0.1256625,0.39175
96.0,0.23,0.254875,0.1253625,0.3897625
97.0,0.23,0.2539,0.1279,0.3882
98.0,0.23,0.253125,0.1268625,0.3900125
99.0,0.23,0.2545375,0.1259375,0.389525
100.0,0.23,0.251975,0.1269125,0.3911125
101.0,0.23,0.2522125,0.1275125,0.390275
102.0,0.23,0.2506875,0.127025,0.3922875
103.0,0.23,0.253975,0.1258375,0.3901875
104.0,0.23,0.2559625,0.1249625,0.389075
105.0,0.23,0.257125,0.1275,0.385375
106.0,0.23,0.2542625,0.129,0.3867375
107.0,0.23,0.2543125,0.12795,0.3877375
108.0,0.23,0.2535875,0.1260375,0.390375
109.0,0.23,0.2524625,0.1279375,0.3896
110.0,0.23,0.25095,0.128525,0.390525
111.0,0.23,0.253175,0.1258625,0.3909625
112.0,0.23,0.250825,0.1268125,0.3923625
113.0,0.23,0.2532125,0.126725,0.3900625
114.0,0.23,0.2563375,0.126325,0.3873375
115.0,0.23,0.2574625,0.12725,0.3852875
116.0,0.23,0.258525,0.12795,0.383525
117.0,0.23,0.2549125,0.129425,0.3856625
