Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.5265,0.3295,0.1215,0.0225
2.0,0.2085,0.20675,0.32775,0.257
3.0,0.2025,0.0765,0.232,0.489
4.0,0.2025,0.03475,0.13425,0.6285
5.0,0.20175,0.0225,0.06675,0.709
6.0,0.20325,0.0105,0.037,0.74925
7.0,0.20375,0.00725,0.022,0.767
8.0,0.2075,0.00475,0.0115,0.77625
9.0,0.212,0.00175,0.0065,0.77975
10.0,0.2175,0.00175,0.00425,0.7765
11.0,0.228,0.00275,0.0035,0.76575
12.0,0.24225,0.00375,0.0055,0.7485
13.0,0.265,0.00275,0.0045,0.72775
14.0,0.288,0.00425,0.0055,0.70225
15.0,0.31625,0.00425,0.008,0.6715
16.0,0.34825,0.004,0.009,0.63875
17.0,0.39325,0.003,0.00625,0.5975
18.0,0.42225,0.01275,0.00625,0.55875
19.0,0.4455,0.01775,0.02075,0.516
20.0,0.46675,0.0175,0.02,0.49575
21.0,0.48525,0.01675,0.022,0.476
22.0,0.495,0.018,0.02425,0.46275
23.0,0.49775,0.01625,0.02225,0.46375
24.0,0.498,0.01,0.02225,0.46975
25.0,0.499,0.0075,0.0145,0.479
26.0,0.5025,0.00625,0.01525,0.476
27.0,0.50675,0.0035,0.01075,0.479
28.0,0.51125,0.0015,0.00625,0.481
29.0,0.51625,0.00075,0.0045,0.4785
30.0,0.527,0.0,0.00125,0.47175
31.0,0.53825,0.0,0.00075,0.461
32.0,0.553,0.0,0.00025,0.44675
33.0,0.56325,0.0,0.0,0.43675
34.0,0.576,0.0,0.0,0.424
35.0,0.58825,0.0,0.0,0.41175
36.0,0.598,0.0,0.0,0.402
37.0,0.60625,0.0,0.0,0.39375
38.0,0.61675,0.0,0.0,0.38325
39.0,0.633,0.0,0.0,0.367
40.0,0.643,0.0,0.0,0.357
41.0,0.654,0.0,0.0,0.346
42.0,0.66575,0.0,0.0,0.33425
43.0,0.6765,0.0,0.0,0.3235
44.0,0.684,0.0,0.0,0.316
45.0,0.6885,0.0,0.0,0.3115
46.0,0.693,0.0,0.0,0.307
47.0,0.69625,0.0,0.0,0.30375
48.0,0.69825,0.0,0.0,0.30175
49.0,0.69875,0.0,0.0,0.30125
50.0,0.6995,0.0,0.0,0.3005
51.0,0.69975,0.0,0.0,0.30025
52.0,0.69975,0.0,0.0,0.30025
53.0,0.7,0.0,0.0,0.3
54.0,0.7,0.0,0.0,0.3
55.0,0.7,0.0,0.0,0.3
56.0,0.7,0.0,0.0,0.3
57.0,0.7,0.0,0.0,0.3
58.0,0.7,0.0,0.0,0.3
59.0,0.7,0.0,0.0,0.3
60.0,0.7,0.0,0.0,0.3
61.0,0.7,0.0,0.0,0.3
62.0,0.7,0.0,0.0,0.3
63.0,0.7,0.0,0.0,0.3
64.0,0.7,0.0,0.0,0.3
65.0,0.7,0.0,0.0,0.3
66.0,0.7,0.0,0.0,0.3
67.0,0.7,0.0,0.0,0.3
68.0,0.7,0.0,0.0,0.3
69.0,0.7,0.0,0.0,0.3
70.0,0.7,0.0,0.0,0.3
71.0,0.7,0.0,0.0,0.3
72.0,0.7,0.0,0.0,0.3
73.0,0.7,0.0,0.0,0.3
74.0,0.7,0.0,0.0,0.3
75.0,0.7,0.0,0.0,0.3
76.0,0.7,0.0,0.0,0.3
77.0,0.7,0.0,0.0,0.3
78.0,0.7,0.0,0.0,0.3
79.0,0.7,0.0,0.0,0.3
80.0,0.7,0.0,0.0,0.3
81.0,0.7,0.0,0.0,0.3
82.0,0.7,0.0,0.0,0.3
83.0,0.7,0.0,0.0,0.3
84.0,0.7,0.0,0.0,0.3
85.0,0.7,0.0,0.0,0.3
86.0,0.7,0.0,0.0,0.3
87.0,0.7,0.0,0.0,0.3
88.0,0.7,0.0,0.0,0.3
89.0,0.7,0.0,0.0,0.3
90.0,0.7,0.0,0.0,0.3
91.0,0.7,0.0,0.0,0.3
92.0,0.7,0.0,0.0,0.3
93.0,0.7,0.0,0.0,0.3
94.0,0.7,0.0,0.0,0.3
95.0,0.7,0.0,0.0,0.3
96.0,0.7,0.0,0.0,0.3
97.0,0.7,0.0,0.0,0.3
98.0,0.7,0.0,0.0,0.3
99.0,0.7,0.0,0.0,0.3
100.0,0.7,0.0,0.0,0.3
101.0,0.7,0.0,0.0,0.3
102.0,0.7,0.0,0.0,0.3
103.0,0.7,0.0,0.0,0.3
104.0,0.7,0.0,0.0,0.3
105.0,0.7,0.0,0.0,0.3
106.0,0.7,0.0,0.0,0.3
107.0,0.7,0.0,0.0,0.3
108.0,0.7,0.0,0.0,0.3
109.0,0.7,0.0,0.0,0.3
110.0,0.7,0.0,0.0,0.3
111.0,0.7,0.0,0.0,0.3
112.0,0.7,0.0,0.0,0.3
113.0,0.7,0.0,0.0,0.3
114.0,0.7,0.0,0.0,0.3
115.0,0.7,0.0,0.0,0.3
116.0,0.7,0.0,0.0,0.3
117.0,0.7,0.0,0.0,0.3
118.0,0.7,0.0,0.0,0.3
119.0,0.7,0.0,0.0,0.3
120.0,0.7,0.0,0.0,0.3
121.0,0.7,0.0,0.0,0.3
122.0,0.7,0.0,0.0,0.3
123.0,0.7,0.0,0.0,0.3
124.0,0.7,0.0,0.0,0.3
125.0,0.7,0.0,0.0,0.3
126.0,0.7,0.0,0.0,0.3
127.0,0.7,0.0,0.0,0.3
128.0,0.7,0.0,0.0,0.3
129.0,0.7,0.0,0.0,0.3
130.0,0.7,0.0,0.0,0.3
131.0,0.7,0.0,0.0,0.3
132.0,0.7,0.0,0.0,0.3
133.0,0.7,0.0,0.0,0.3
134.0,0.7,0.0,0.0,0.3
135.0,0.7,0.0,0.0,0.3
136.0,0.7,0.0,0.0,0.3
137.0,0.7,0.0,0.0,0.3
138.0,0.7,0.0,0.0,0.3
139.0,0.7,0.0,0.0,0.3
140.0,0.7,0.0,0.0,0.3
141.0,0.7,0.0,0.0,0.3
142.0,0.7,0.0,0.0,0.3
143.0,0.7,0.0,0.0,0.3
144.0,0.7,0.0,0.0,0.3
145.0,0.7,0.0,0.0,0.3
146.0,0.7,0.0,0.0,0.3
