Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.734775,0.222275,0.0359125,0.0070375
2.0,0.1878125,0.4776125,0.2253,0.109275
3.0,0.1522125,0.307475,0.2621125,0.2782
4.0,0.150325,0.2167375,0.214825,0.4181125
5.0,0.15,0.1765,0.16965,0.50385
6.0,0.15,0.1548375,0.1400125,0.55515
7.0,0.1500125,0.1438625,0.119675,0.58645
8.0,0.1500125,0.1365125,0.1102125,0.6032625
9.0,0.1500125,0.1314625,0.102875,0.61565
10.0,0.15,0.128875,0.0973125,0.6238125
11.0,0.15,0.1286125,0.0954375,0.62595
12.0,0.15,0.124675,0.0957125,0.6296125
13.0,0.15,0.1215,0.0935125,0.6349875
14.0,0.15,0.119,0.0892125,0.6417875
15.0,0.15,0.115575,0.0879875,0.6464375
16.0,0.15,0.1153625,0.0871,0.6475375
17.0,0.15,0.115375,0.0862,0.648425
18.0,0.15,0.1152,0.087425,0.647375
19.0,0.15,0.11585,0.0857625,0.6483875
20.0,0.15,0.11575,0.08595,0.6483
21.0,0.15,0.1132375,0.0857375,0.651025
22.0,0.15,0.1161375,0.085575,0.6482875
23.0,0.15,0.1182125,0.0850375,0.64675
24.0,0.15,0.1209125,0.086025,0.6430625
25.0,0.15,0.1193375,0.0869375,0.643725
26.0,0.15,0.119875,0.088,0.642125
27.0,0.15,0.1195,0.0901125,0.6403875
28.0,0.15,0.1152125,0.0890375,0.64575
29.0,0.15,0.1165625,0.0875875,0.64585
30.0,0.15,0.1151125,0.0870125,0.647875
31.0,0.15,0.1174125,0.08695,0.6456375
32.0,0.15,0.11765,0.088125,0.644225
33.0,0.15,0.1167375,0.0883125,0.64495
34.0,0.15,0.115675,0.0865,0.647825
35.0,0.15,0.1173375,0.0872625,0.6454
36.0,0.15,0.119,0.0881875,0.6428125
37.0,0.15,0.119525,0.0888625,0.6416125
38.0,0.15,0.121,0.0910125,0.6379875
39.0,0.15,0.1214,0.0891875,0.6394125
40.0,0.15,0.1188125,0.0897875,0.6414
41.0,0.15,0.117725,0.0888875,0.6433875
42.0,0.15,0.116275,0.0883625,0.6453625
43.0,0.15,0.1149375,0.0863625,0.6487
44.0,0.15,0.1151875,0.08675,0.6480625
45.0,0.15,0.11355,0.085375,0.651075
46.0,0.15,0.1147375,0.0837875,0.651475
47.0,0.15,0.1181,0.0838125,0.6480875
48.0,0.15,0.1195125,0.0862,0.6442875
49.0,0.15,0.11715,0.08845,0.6444
50.0,0.15,0.1150125,0.0889,0.6460875
51.0,0.15,0.115725,0.0862875,0.6479875
52.0,0.15,0.116125,0.0867125,0.6471625
53.0,0.15,0.112825,0.08765,0.649525
54.0,0.15,0.1143375,0.086425,0.6492375
55.0,0.15,0.1175125,0.0856375,0.64685
56.0,0.15,0.116875,0.0872875,0.6458375
57.0,0.15,0.1169875,0.0868625,0.64615
58.0,0.15,0.1168,0.0876125,0.6455875
59.0,0.15,0.11765,0.0892125,0.6431375
60.0,0.15,0.11925,0.0891625,0.6415875
61.0,0.15,0.118275,0.088275,0.64345
62.0,0.15,0.118025,0.087625,0.64435
63.0,0.15,0.1162125,0.087875,0.6459125
64.0,0.15,0.116325,0.0875625,0.6461125
65.0,0.15,0.1147375,0.08875,0.6465125
66.0,0.15,0.1138,0.0879125,0.6482875
67.0,0.15,0.1144375,0.0861375,0.649425
68.0,0.15,0.113325,0.084175,0.6525
69.0,0.15,0.1142375,0.083725,0.6520375
70.0,0.15,0.112725,0.08435,0.652925
71.0,0.15,0.1107625,0.0845375,0.6547
72.0,0.15,0.114725,0.08365,0.651625
73.0,0.15,0.112075,0.085575,0.65235
74.0,0.15,0.11245,0.0841875,0.6533625
75.0,0.15,0.11375,0.0854125,0.6508375
76.0,0.15,0.114275,0.084275,0.65145
77.0,0.15,0.116,0.0850875,0.6489125
78.0,0.15,0.115375,0.0870875,0.6475375
79.0,0.15,0.11625,0.084625,0.649125
80.0,0.15,0.1157625,0.0871875,0.64705
81.0,0.15,0.1138125,0.0856,0.6505875
82.0,0.15,0.1135625,0.08575,0.6506875
83.0,0.15,0.116275,0.085825,0.6479
84.0,0.15,0.119325,0.0871625,0.6435125
85.0,0.15,0.119325,0.0880125,0.6426625
86.0,0.15,0.1207375,0.087575,0.6416875
87.0,0.15,0.1187125,0.0907125,0.640575
88.0,0.15,0.1176875,0.090525,0.6417875
89.0,0.15,0.11885,0.0893625,0.6417875
90.0,0.15,0.1188375,0.0903375,0.640825
91.0,0.15,0.1172,0.08895,0.64385
92.0,0.15,0.1161,0.0864,0.6475
93.0,0.15,0.11605,0.0872875,0.6466625
94.0,0.15,0.117375,0.0862,0.646425
95.0,0.15,0.1176125,0.0862,0.6461875
96.0,0.15,0.1177125,0.086825,0.6454625
97.0,0.15,0.1144125,0.0878125,0.647775
98.0,0.15,0.11495,0.0854,0.64965
99.0,0.15,0.1133625,0.0853,0.6513375
100.0,0.15,0.1146875,0.0842,0.6511125
101.0,0.15,0.1180375,0.0850875,0.646875
102.0,0.15,0.118525,0.0868125,0.6446625
103.0,0.15,0.119175,0.0876875,0.6431375
104.0,0.15,0.1178375,0.0886375,0.643525
105.0,0.15,0.1173375,0.087925,0.6447375
106.0,0.15,0.1176625,0.088625,0.6437125
107.0,0.15,0.116725,0.0880625,0.6452125
108.0,0.15,0.115225,0.0882875,0.6464875
109.0,0.15,0.1151625,0.0870125,0.647825
110.0,0.15,0.1133125,0.0870375,0.64965
111.0,0.15,0.1139,0.0856,0.6505
112.0,0.15,0.1118875,0.0859875,0.652125
113.0,0.15,0.11235,0.084425,0.653225
114.0,0.15,0.1139125,0.08395,0.6521375
115.0,0.15,0.1138125,0.0841375,0.65205
116.0,0.15,0.1149125,0.084875,0.6502125
117.0,0.15,0.1155,0.0862375,0.6482625
118.0,0.15,0.1108375,0.0859125,0.65325
119.0,0.15,0.1091125,0.0850125,0.655875
120.0,0.15,0.111225,0.0818625,0.6569125
121.0,0.15,0.112875,0.0851375,0.6519875
122.0,0.15,0.113275,0.0855375,0.6511875
123.0,0.15,0.113425,0.0845625,0.6520125
