Time,Mean_N,Mean_C,Mean_A,Mean_X
0.0,0.9975,0.0025,0.0,0.0
1.0,0.9595,0.02675,0.01,0.00375
2.0,0.78475,0.11275,0.0685,0.034
3.0,0.473,0.2075,0.19625,0.12325
4.0,0.2845,0.1715,0.25775,0.28625
5.0,0.23625,0.11875,0.2,0.445
6.0,0.22975,0.074,0.15725,0.539
7.0,0.2425,0.048,0.10575,0.60375
8.0,0.27075,0.038,0.07275,0.6185
9.0,0.305,0.03725,0.06625,0.5915
10.0,0.351,0.03125,0.056,0.56175
11.0,0.393,0.03125,0.04825,0.5275
12.0,0.43925,0.0395,0.05025,0.471
13.0,0.4635,0.05575,0.05725,0.4235
14.0,0.45625,0.08525,0.07975,0.37875
15.0,0.4135,0.093,0.1205,0.373
16.0,0.37275,0.10225,0.1425,0.3825
17.0,0.3455,0.08875,0.14725,0.4185
18.0,0.3245,0.071,0.1435,0.461
19.0,0.31625,0.05975,0.11225,0.51175
20.0,0.32375,0.0535,0.094,0.52875
21.0,0.34475,0.0475,0.08075,0.527
22.0,0.3695,0.04975,0.0655,0.51525
23.0,0.39625,0.048,0.076,0.47975
24.0,0.42675,0.04875,0.07675,0.44775
25.0,0.4485,0.05225,0.07625,0.423
26.0,0.4485,0.06325,0.08925,0.399
27.0,0.443,0.0705,0.0955,0.391
28.0,0.4345,0.0705,0.09825,0.39675
29.0,0.4275,0.06175,0.106,0.40475
30.0,0.4165,0.0665,0.0985,0.4185
31.0,0.403,0.065,0.10075,0.43125
32.0,0.404,0.05175,0.10125,0.443
33.0,0.43075,0.03175,0.0775,0.46
34.0,0.45925,0.0405,0.061,0.43925
35.0,0.47475,0.0475,0.06525,0.4125
36.0,0.4755,0.058,0.07975,0.38675
37.0,0.47375,0.06,0.0855,0.38075
38.0,0.46875,0.0615,0.09325,0.3765
39.0,0.454,0.0625,0.095,0.3885
40.0,0.44975,0.0645,0.08925,0.3965
41.0,0.44325,0.06825,0.08825,0.40025
42.0,0.436,0.0625,0.096,0.4055
43.0,0.435,0.05975,0.09525,0.41
44.0,0.43275,0.0605,0.09775,0.409
45.0,0.42175,0.07,0.0945,0.41375
46.0,0.41425,0.0705,0.09725,0.418
47.0,0.4105,0.0625,0.09775,0.42925
48.0,0.41925,0.046,0.09325,0.4415
49.0,0.43775,0.0435,0.08075,0.438
50.0,0.4515,0.0535,0.0715,0.4235
51.0,0.4415,0.05825,0.0845,0.41575
52.0,0.43325,0.05325,0.0865,0.427
53.0,0.44225,0.05425,0.08725,0.41625
54.0,0.458,0.049,0.0785,0.4145
55.0,0.473,0.0495,0.0755,0.402
56.0,0.49075,0.04,0.0705,0.39875
57.0,0.51,0.0395,0.06175,0.38875
