NormalCell,CancerCell,Apoptosis,Empty
0.9823129251700682,0.01587301587301581,0.001814058956916081,0.0
0.9470143613000759,0.03718820861677998,0.014663643235071754,0.0011337868480725505
0.8941043083900226,0.05827664399092966,0.03794406651549505,0.009674981103552468
0.8234315948601663,0.07928949357520777,0.06311413454270591,0.03416477702191983
0.7349206349206349,0.09856386999244138,0.09380196523053662,0.07271352985638696
0.6286470143613,0.1209372637944066,0.11897203325774747,0.13144368858654568
0.5040816326530613,0.14134542705971273,0.14890400604686313,0.20566893424036278
0.36228269085411935,0.16334089191232043,0.1801965230536659,0.2941798941798941
0.2022675736961451,0.18805744520030226,0.20551776266061975,0.4041572184429327
0.023582766439909236,0.20967498110355245,0.23703703703703694,0.5297052154195011
0.0020408163265305938,0.05631141345427056,0.2699924414210128,0.671655328798186
0.0,0.016704459561602356,0.14875283446712012,0.8345427059712773
0.0,0.008012093726379382,0.06742252456538164,0.9245653817082391
0.0,0.004308390022675698,0.03318216175359026,0.9625094482237341
0.0,0.0020408163265305933,0.01519274376417227,0.982766439909297
0.0,0.0017384731670445767,0.007482993197278857,0.9907785336356765
0.0,0.0016628873771730767,0.0038548752834466787,0.9944822373393803
0.0,0.0012093726379440567,0.0026455026455026232,0.9961451247165534
0.0,0.00083144368858654,0.0018896447467875897,0.997278911564626
0.0,0.0006046863189720299,0.0017384731670445834,0.9976568405139834
0.0,0.0006046863189720266,0.0014361300075585667,0.9979591836734694
0.0,0.00015117157974300666,0.0012093726379440565,0.9986394557823128
0.0,0.00015117157974300666,0.0006802721088435334,0.9991685563114134
0.0,7.558578987150333e-05,0.00022675736961451002,0.999697656840514
0.0,7.558578987150333e-05,0.0,0.9999244142101286
0.0,7.558578987150333e-05,0.0,0.9999244142101286
0.0,7.558578987150333e-05,0.0,0.9999244142101286
0.0,7.558578987150333e-05,7.558578987150333e-05,0.999848828420257
0.0,0.0,0.00015117157974300666,0.999848828420257
0.0,0.0,7.558578987150333e-05,0.9999244142101286
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0
