NormalCell,CancerCell,Apoptosis,Empty
0.9975,0.0025,0.0,0.0
0.9973607857128498,0.00257577233042698,6.31278939402127e-05,3.140627829774734e-07
0.9972173759955675,0.0026538206314700974,0.00012754074090374004,1.2626320587046724e-06
0.9970696492081246,0.0027342120141264042,0.00019328320331403608,2.8555744350399515e-06
0.9969174801571888,0.0028170154918358823,0.0002604011922104108,5.103158764925043e-06
0.9967607400007867,0.0029023020296979406,0.0003289419027592916,8.016066756172138e-06
0.9965992961508019,0.0029901445946636735,0.00039895385064857893,1.160540388604798e-05
0.9964330121732885,0.003080618206703148,0.0004704869093805762,1.588271062797379e-05
0.9962617476865785,0.0031737999909452713,0.0005435923484787795,2.08599739977746e-05
0.9960853582571637,0.0032697692307859204,0.0006183228726235793,2.654963942702327e-05
0.9959036952933394,0.003368607421958017,0.0006947326617316407,3.296462297113324e-05
0.9957166059365917,0.0034703983275550625,0.000772877411993402,4.011832385995886e-05
0.9955239329507214,0.003575228033997316,0.0008528143778827458,4.802463739876301e-05
0.995325514608693,0.003683185007927289,0.0009346024151524563,5.669796822750777e-05
0.9951211845772066,0.003794360154018545,0.0010183020248285784,6.615324394651474e-05
0.9949107717989886,0.003908846873678903,0.0011039753982162288,7.640592911662656e-05
0.9946941003728034,0.0040267411246260485,0.0011916864629287767,8.747203964207976e-05
0.9944709894311942,0.004148141481310256,0.0012815009299516026,9.936815754437056e-05
0.9942412530159587,0.004273149196155384,0.001373486341750866,0.00011211144613545848
0.9940046999513793,0.0044018682615855394,0.0014677121214368358,0.00012571966559870768
0.9937611337152232,0.004534405472800767,0.0015642496229903882,0.00014021118898601187
0.9935103523075398,0.004670870491260852,0.0016631721825602272,0.00015560501863958284
0.9932521481172846,0.0048113759088317404,0.0017645551708372282,0.00017192080304690796
0.9929863077868077,0.004956037312544252,0.0018684760465110558,0.00018917885413739284
0.9927126120742489,0.005104973349909571,0.0019750144108128358,0.00020740016502920498
0.9924308357138889,0.0052583057947305735,0.002084252063146177,0.00022660642823481804
0.9921407472745173,0.005416159613342198,0.002196273057807234,0.00024682005433372656
0.991842109015879,0.005578663031207972,0.0023111637617927393,0.0002680641911207524
0.9915346767432759,0.005745947599793269,0.0024290129136930803,0.00029036274323830056
0.9912181996604051,0.005918148263628993,0.0025499116836654317,0.00031374039230083685
0.9908924202205287,0.006095403427472145,0.0026739537344797975,0.00033822261751975566
0.9905570739760732,0.006277855023462047,0.0028012352836284406,0.00036383571683667906
0.9902118894267776,0.006465648578162898,0.002931855166486673,0.00039060682857307993
0.9898565878665113,0.006658933279374843,0.0030659149005102704,0.0004185639536039445
0.9894908832288988,0.00685786204258676,0.003203518750451866,0.00044773597806298915
0.9891144819319035,0.007062591576934528,0.003344773794575609,0.00047815269658671645
0.9887270827215313,0.007273282450518683,0.003489789991846047,0.0005098448361043333
0.9883283765148316,0.007490099154924904,0.003638680250063673,0.0005428440801802617
0.9879180462423891,0.007713210168779957,0.003791560494915831,0.0005771830939156468
0.9874957666905136,0.007942788020164248,0.003948549739907673,0.0006128955494148991
0.9870612043433538,0.008179009347690246,0.004109770157133611,0.0006500161518229113
0.9866140172251737,0.008422054960043538,0.004275347148845223,0.0006885806659381426
0.9861538547430573,0.008672109893770262,0.004445409419766759,0.0007286259434062781
0.9856803575303165,0.008929363469081094,0.004620089050104371,0.0007701899504986415
0.9851931572909041,0.009194009343427819,0.004799521569189807,0.0008133117964789564
0.9846918766451518,0.009466245562593817,0.004983846029693645,0.0008580317625614223
0.9841761289771764,0.009746274609024512,0.005173205082337207,0.0009043913314623866
0.9836455182843196,0.010034303447107994,0.005367745051025921,0.0009524332175471551
0.9830996390290081,0.010330543565099609,0.005567616008320322,0.0010022013975726836
0.9825380759934536,0.010635211013367302,0.0057729718511538375,0.0010537411420260272
0.9819604041376269,0.010948526438617063,0.005983970376699185,0.0011070990470575081
0.981366188460977,0.011270715113739576,0.006200773358277467,0.0011623230670065562
0.9807549838683869,0.01160200696290075,0.0064235466211959545,0.00121946254751712
0.9801263350408906,0.011942636581479564,0.006652460118392054,0.0012785682592383982
0.979479776311706,0.012292843250437108,0.006887688005752079,0.0013396924321054334
0.9788148315481631,0.012652870944680629,0.007129408716964124,0.0014028887901927991
0.9781310140401467,0.013022968334965933,0.007377805037754678,0.0014682125871332383
0.9774278263956999,0.013403388782860596,0.007633064179348444,0.0015357206420916342
0.9767047604444679,0.013794390328269311,0.00789537785098033,0.001605471376283137
0.9759612971496994,0.014196235669001129,0.008164942331277564,0.0016775248500226108
0.9751969065295545,0.014609192131836821,0.008441958538318538,0.0017519428002908094
0.9744110475885042,0.015033531634532596,0.008726632098163106,0.001828788678800844
0.9736031682596427,0.015469530638174649,0.009019173411636841,0.0019081276905465335
0.9727727053587722,0.015917470089277113,0.00931979771913909,0.0019900268328121758
0.9719190845511538,0.0163776353509942,0.009628725163231535,0.0020745549346210864
0.9710417203318562,0.016850316122795903,0.009946180848750511,0.0021617826965979804
0.9701400160206749,0.017335806347935384,0.010272394900172416,0.0022517827312178466
0.9692133637726263,0.01783440410801561,0.010607602515947268,0.0023446296034114523
0.9682611446050622,0.018346411503942638,0.010952044019500826,0.0024403998714949723
0.9672827284424876,0.018872134522533862,0.011305964906590733,0.00253917212838845
0.9662774741801979,0.019411882888031105,0.011669615888686773,0.0026410270430849325
0.9652447297678904,0.019965969897751405,0.012043252932029812,0.002746047402329073
0.9641838323144393,0.020534712241092504,0.012427137292008101,0.002854318152460866
0.9630941082150544,0.021118429801095847,0.012821535542473584,0.0029659264413768958
0.9619748733020806,0.021717445437757457,0.013226719599604577,0.003080961660558077
0.96082543302072,0.02233208475226659,0.013642966739904908,0.0031995154871093316
0.9596450826309906,0.022962675831344103,0.014070559611913058,0.0033216819257529885
0.9584331074372615,0.023609548970846782,0.014509786241178572,0.003447557350713899
0.9571887830467226,0.024273036377801357,0.014960940028046448,0.003577240547430363
0.9559113756581733,0.024953471850032334,0.015424319737774164,0.0037108327540209146
0.9546001423825262,0.025651190432551835,0.01590022948248984,0.003848437702432876
0.9532543315964346,0.026366528049887497,0.016388978694484416,0.003990161659194323
0.9518731833304622,0.027099821113536468,0.016890882090315324,0.0041361134656867395
0.9504559296932149,0.027851406103750177,0.017406259625184467,0.004286404577851149
0.9490017953328498,0.028621619124875975,0.01793543643703896,0.004441149105235977
0.9475099979373721,0.02941079543350868,0.01847874277982981,0.004600463849290224
0.9459797487751115,0.030219268938737488,0.019036513945351056,0.004764468340800793
0.9444102532767501,0.031047371673812375,0.019609090173070328,0.004933284876368061
0.9428007116602413,0.03189543323859924,0.020196816547351424,0.005107038553808919
0.9411503195999238,0.03276378021224514,0.020800042881460402,0.005285857306371595
0.939458268941086,0.03365273553553419,0.021419123587739005,0.005469871935641742
0.9377237484611812,0.03456261786248197,0.022054417533323375,0.005659216143014283
0.9359459446788273,0.03549374088079119,0.022706287880781776,0.005854026559600657
0.9341240427116465,0.03644641260087528,0.02337510191304299,0.006054442774436224
0.9322572271839173,0.03742093461324872,0.02406123084198705,0.006260607360847777
0.9303446831849073,0.03841760131418477,0.024765049600072583,0.006472665900836347
0.9283855972786428,0.039436699099652125,0.02548693661438009,0.0066907670073259075
0.9263791585657559,0.040478505527662766,0.02622727356245835,0.006915062344123984
0.9243245597978986,0.041543288449294044,0.026986445109372363,0.0071457066434359295
0.9222209985450767,0.04263130510878871,0.027764838625365256,0.007382857720770355
0.9200676784160797,0.0437428012132875,0.02856284388356446,0.007626676487069332
0.9178638103320137,0.044878009972910145,0.029380852737183927,0.007877326957893248
0.9156086138527425,0.04603715111207225,0.03021925877569948,0.00813497625948679
0.9133013185558412,0.047220429853106614,0.031078456959503856,0.008399794631549452
0.9109411654674382,0.048428035873449564,0.03195884323258208,0.008671955426531226
0.9085274085440896,0.04966014223785362,0.03286081411278593,0.00895163510527181
0.9060593162045733,0.05091690430729828,0.03378476625932957,0.009239013228799808
0.9035361729102276,0.052198458626489856,0.034731096017176555,0.009534272446106924
0.90095728079218,0.05350492179206835,0.03570019893804127,0.009837598477711363
0.8983219613235158,0.05483638930387419,0.03669246927778657,0.01014918009482428
0.8956295570341365,0.056192934401868164,0.03770829947006275,0.010469209093933434
0.8928794332657343,0.05757460689154507,0.03874807957610232,0.01079788026661916
0.8900709799639904,0.05898143196093144,0.0398121967106596,0.011135391364419434
0.8872036135047613,0.06041340899251219,0.040901034444164194,0.011481943058563175
0.8842767785506777,0.06187051037368559,0.042014972181243324,0.011837738894394134
0.881289949934229,0.06335268030960106,0.04315438451585897,0.012202985240311666
0.8782426345630512,0.0648598336424876,0.04431964056340236,0.012577891231059624
0.8751343733427808,0.06639185468182922,0.0455111032701905,0.012962668705200258
0.8719647431124801,0.06794859604998785,0.046729128700916014,0.013357532136616808
0.8687333585872824,0.06952987754810837,0.04797406530471392,0.013762698559896038
0.8654398743025594,0.07113548504736572,0.04924625316062491,0.014178387489450666
0.8620839865535678,0.0727651694108255,0.0505460232033562,0.014604820832251264
0.8586654353242021,0.07441864545138588,0.05187369643036476,0.015042222794047955
0.8551840061981636,0.0760955909314464,0.05322958309141674,0.015490819778973895
0.8516395322455509,0.07779564561010716,0.05461398186190717,0.015950840282435434
0.8480318958776,0.07951841034383528,0.056027179001357626,0.01642251477720763
0.8443610306620442,0.08126344624664314,0.057469447498644514,0.01690607559266881
0.840626923091329,0.08303027391590131,0.0589410462056465,0.01740175678712371
0.8368296142957267,0.08481837272995599,0.060442218961135837,0.01790979401318197
0.8329692016932174,0.0866271802237328,0.06197319370687384,0.01843042437617647
0.8290458405678857,0.0884560915484847,0.06353418159800486,0.01896388628562532
0.8250597455684877,0.09030445902177728,0.06512537610997463,0.019510419299760936
0.821011192118802,0.09217159177370063,0.06674695214432717,0.0200702639631707
0.81690051773138,0.0940567554951471,0.0683990651358583,0.020643661637615184
0.8127281232163642,0.0959591722938022,0.07008185016372175,0.02123085432611237
0.8084944737771507,0.09787802066325446,0.07179542106919606,0.021832084490399396
0.8042000999848252,0.09981243557034394,0.0735398695829243,0.022447594861906985
0.7998455986235278,0.10176150866553295,0.0753152644645337,0.023077628246406027
